Language,Accuracy
English,0.99
Spanish,0.7254901960784313
Russian,0.41666666666666663
nan,0.0
German,0.33653846153846156
Portugeese,0.6133333333333333
Italian,0.679245283018868
Arabic,0.13461538461538458
Turkish,0.21276595744680848
Greek,0.0
Danish,0.5588235294117647
Dutch,0.6190476190476191
